,user_id,isbn,book_rating,user,book
638,276939,2878580753,10.0,729,4120
640,276939,8423310353,8.0,729,4364
645,276949,349202436X,8.0,730,4253
647,276953,0140182551,8.0,731,312
648,276953,0446310786,10.0,731,1668
649,276953,0886776783,7.0,731,3541
654,276954,3423118709,10.0,732,4174
676,276957,0312966970,6.0,733,567
680,276964,0312169817,6.0,734,496
683,276964,0345348672,10.0,734,725
684,276964,0345354621,10.0,734,729
686,276964,0345435036,10.0,734,797
687,276964,0385264356,10.0,734,1134
688,276964,0425104273,9.0,734,1379
690,276964,0440218667,5.0,734,1552
691,276964,0440220602,9.0,734,1555
695,276964,0515131520,6.0,734,2116
698,276964,0684867621,8.0,734,2885
700,276964,0812550153,5.0,734,3323
701,276964,0812550307,10.0,734,3324
702,276964,0843949163,8.0,734,3416
703,276964,0886773741,7.0,734,3517
704,276964,0886774802,8.0,734,3526
705,276964,0886774829,8.0,734,3527
706,276964,0886775426,9.0,734,3532
707,276964,0886775957,10.0,734,3536
708,276964,0886777178,7.0,734,3545
714,276984,0590259970,9.0,735,2426
715,276984,0590260251,9.0,735,2427
717,276984,0590426702,10.0,735,2440
718,276984,0590436422,9.0,735,2447
719,276984,0590436449,9.0,735,2448
721,276984,0590436465,9.0,735,2449
722,276984,0590436481,9.0,735,2450
723,276984,059043649X,9.0,735,2451
725,276984,0590442589,10.0,735,2455
727,276984,0590442996,10.0,735,2461
728,276984,0590448234,9.0,735,2462
729,276984,0590448595,9.0,735,2467
731,276984,0590456504,9.0,735,2472
732,276984,0590470485,9.0,735,2478
734,276986,0060930187,10.0,736,119
735,276986,0375760911,10.0,736,1024
736,276986,0689817851,10.0,736,2926
737,276986,0874869870,10.0,736,3460
738,276988,0061081450,7.0,737,193
739,276988,0061083259,7.0,737,194
740,276988,0061087017,7.0,737,196
741,276988,0061094404,8.0,737,203
744,276988,0671793489,8.0,737,2733
751,276994,3100970616,10.0,738,4123
752,276994,3257062354,8.0,738,4128
754,276994,3423128879,4.0,738,4180
755,276994,3423202327,6.0,738,4183
756,276994,342677609X,5.0,738,4195
758,276994,3442727073,9.0,738,4217
759,276994,3453132041,4.0,738,4232
760,276994,3478387507,2.0,738,4252
761,276994,3492045170,7.0,738,4254
762,276994,3492230814,6.0,738,4261
764,276994,3545202461,9.0,738,4284
765,276994,3548359698,6.0,738,4288
766,276994,3550075359,6.0,738,4291
767,276994,3596154766,2.0,738,4306
768,276994,3596214629,8.0,738,4311
770,276998,0618045996,8.0,739,2525
771,276998,3822858617,7.0,739,4336
772,277002,0864425589,6.0,740,3437
774,277009,0452282101,9.0,741,2034
777,277012,0553581112,9.0,742,2377
778,277012,0805047379,5.0,742,3228
779,277012,0892964456,10.0,742,3574
780,277018,0373250223,7.0,743,885
781,277018,0451097009,7.0,743,1864
782,277018,0451179994,8.0,743,1895
785,277023,0553140779,6.0,744,2202
786,277028,0425182150,10.0,745,1450
787,277031,1883473004,8.0,746,3947
788,277032,0061007129,8.0,747,153
790,277036,0812511816,9.0,748,3276
792,277036,0880381736,9.0,748,3488
793,277036,0880381744,10.0,748,3489
798,277042,0312283709,8.0,749,522
801,277042,0446605484,7.0,749,1735
802,277042,0446611212,8.0,749,1761
804,277042,0451207955,7.0,749,1933
805,277042,0609804138,9.0,749,2519
809,277042,074343627X,8.0,749,3042
812,277042,0971880107,2.0,749,3673
813,277048,3426615355,7.0,750,4190
816,277051,0075536498,8.0,751,261
817,277051,0099287692,6.0,751,264
819,277051,0330262130,10.0,751,654
820,277051,0385720920,10.0,751,1225
822,277051,0553262505,7.0,751,2246
826,277051,3442430496,9.0,751,4205
828,277051,3453171500,7.0,751,4239
829,277051,3464371506,3.0,751,4248
831,277053,0590108395,6.0,752,2419
832,277056,3442451353,7.0,753,4215
836,277065,0816704627,4.0,754,3350
837,277072,1573229571,9.0,755,3850
841,277079,3499263998,4.0,756,4277
842,277085,0434009407,8.0,757,1478
843,277085,1841193887,8.0,757,3901
849,277087,8420600369,7.0,758,4358
851,277087,8423918335,6.0,758,4366
852,277087,8426105084,9.0,758,4370
854,277087,843223138X,8.0,758,4378
855,277087,8437608570,6.0,758,4384
856,277087,8440630921,9.0,758,4388
858,277087,8470394126,5.0,758,4401
860,277087,8472230082,5.0,758,4402
864,277094,0064404773,10.0,759,238
865,277096,0064407667,7.0,760,243
867,277107,006054094X,8.0,761,92
868,277107,0375706038,10.0,761,1000
869,277107,081297106X,10.0,761,3346
870,277107,0843951826,5.0,761,3419
871,277107,1400032628,8.0,761,3681
872,277107,1585861553,4.0,761,3886
874,277109,0385334141,5.0,762,1160
875,277109,0425191184,5.0,762,1472
877,277109,0751503894,5.0,762,3071
880,277116,3548208975,8.0,763,4285
882,277124,0425189864,9.0,764,1467
883,277124,0440236053,9.0,764,1593
884,277124,0440241073,9.0,764,1606
885,277124,0553586122,5.0,764,2398
887,277128,0140118608,8.0,765,301
890,277134,1586609726,6.0,766,3887
891,277135,0865472807,8.0,767,3439
892,277139,0312960344,8.0,768,562
897,277143,031286504X,10.0,769,548
898,277143,0345342968,9.0,769,718
903,277143,0767903382,8.0,769,3106
909,277157,0312331754,7.0,770,533
911,277157,0312979517,5.0,770,577
913,277157,0316154059,5.0,770,608
916,277157,0345450175,6.0,770,813
917,277157,0345452550,7.0,770,816
918,277157,0375727981,5.0,770,1015
921,277157,0385305389,4.0,770,1139
923,277157,0394543289,5.0,770,1245
924,277157,0399135804,7.0,770,1303
926,277157,0399141340,8.0,770,1310
927,277157,0399146466,6.0,770,1324
928,277157,0399146504,7.0,770,1325
929,277157,0399146687,7.0,770,1326
930,277157,0399147101,7.0,770,1328
933,277157,0399147624,5.0,770,1332
934,277157,0399148337,6.0,770,1335
936,277157,0399148639,6.0,770,1337
937,277157,0399148728,8.0,770,1338
939,277157,0399150811,5.0,770,1342
941,277157,0399151451,7.0,770,1343
943,277157,039915177X,7.0,770,1344
945,277157,0425183181,5.0,770,1454
954,277157,0671024094,7.0,770,2588
955,277157,0679450408,6.0,770,2786
956,277157,0684801663,6.0,770,2850
957,277157,0684846608,5.0,770,2872
960,277157,074320607X,7.0,770,2997
961,277157,0743407377,6.0,770,3019
962,277157,0743486226,7.0,770,3057
963,277157,0804109990,6.0,770,3215
964,277157,0812571118,5.0,770,3331
967,277165,8475251471,7.0,771,4407
984,277168,0671032658,4.0,772,2605
989,277168,0812568710,5.0,772,3329
990,277168,0843921609,6.0,772,3409
998,277170,0553211056,9.0,773,2214
999,277170,0553285920,9.0,773,2284
1001,277171,0020259700,7.0,774,11
1004,277171,0385422598,9.0,774,1176
1010,277171,0449213730,8.0,774,1819
1011,277171,0449224449,8.0,774,1833
1012,277171,0451173139,7.0,774,1888
1013,277171,0486282406,10.0,774,2062
1016,277171,0553580930,9.0,774,2376
1018,277171,0804102511,9.0,774,3208
1019,277171,080410946X,8.0,774,3213
1023,277179,0440414806,10.0,775,1617
1024,277179,0679767800,7.0,775,2828
1030,277186,0006543545,7.0,776,8
1060,277187,0679745203,9.0,777,2813
1075,277188,0140254188,8.0,778,323
1077,277188,0525945636,4.0,778,2170
1080,277189,074341232X,8.0,779,3025
1083,277195,0060391626,10.0,780,76
1100,277195,0330332775,10.0,780,658
1118,277195,0440174953,9.0,780,1526
1131,277195,055326611X,10.0,780,2252
1134,277195,0553347756,10.0,780,2304
1135,277195,0553379615,10.0,780,2315
1138,277195,0670869902,10.0,780,2548
1140,277195,0671021001,10.0,780,2582
1143,277195,0671647458,10.0,780,2673
1173,277195,1573221856,10.0,780,3840
1185,277196,0449209733,10.0,781,1812
1187,277196,0553271644,7.0,781,2258
1196,277197,0316969680,8.0,782,651
1197,277197,0375703861,7.0,782,993
1198,277197,0440225442,8.0,782,1576
1201,277197,0743229878,6.0,782,3007
1202,277203,030700645X,8.0,783,469
1203,277203,0307127923,8.0,783,475
1204,277203,0307302016,8.0,783,477
1205,277203,0307302636,8.0,783,478
1206,277203,0307987655,8.0,783,480
1207,277203,0316563242,8.0,783,622
1211,277203,039480001X,9.0,783,1265
1212,277203,0394800028,9.0,783,1266
1213,277203,0394800184,9.0,783,1268
1214,277203,039480029X,8.0,783,1269
1215,277203,039480967X,8.0,783,1270
1216,277203,0394925696,8.0,783,1278
1217,277203,0439083702,8.0,783,1487
1218,277203,0439213592,8.0,783,1499
1219,277203,0439242363,6.0,783,1508
1220,277203,0439449316,9.0,783,1515
1221,277203,0590386522,8.0,783,2432
1222,277203,0590402218,9.0,783,2433
1223,277203,0590404342,8.0,783,2435
1224,277203,0590442619,9.0,783,2456
1225,277203,0590442791,9.0,783,2457
1226,277203,0590442805,9.0,783,2458
1227,277203,0590442899,9.0,783,2459
1228,277203,059044297X,9.0,783,2460
1229,277203,059046602X,8.0,783,2473
1230,277203,0590466577,7.0,783,2475
1232,277203,0590629719,10.0,783,2487
1233,277203,0590921622,9.0,783,2501
1234,277203,0590965492,8.0,783,2505
1235,277203,0689845405,7.0,783,2936
1236,277203,0689847564,8.0,783,2937
1237,277203,0717283194,8.0,783,2955
1238,277203,0717283208,8.0,783,2956
1239,277203,0717283275,8.0,783,2957
1240,277203,0717283364,8.0,783,2958
1241,277203,0717283372,8.0,783,2959
1242,277203,0717284832,8.0,783,2960
1243,277203,0717284972,8.0,783,2961
1244,277203,0717287017,8.0,783,2962
1245,277203,0717287106,8.0,783,2963
1246,277203,0721452728,7.0,783,2969
1247,277203,0736401113,8.0,783,2973
1248,277203,0761406158,8.0,783,3085
1249,277203,0769600239,7.0,783,3117
1253,277203,087701759X,10.0,783,3470
1255,277203,0895777010,7.0,783,3590
1256,277203,1561452718,9.0,783,3775
1257,277203,1562826468,9.0,783,3787
1258,277203,2764104936,9.0,783,4108
1259,277205,0671664964,7.0,784,2681
1261,277212,044023722X,8.0,785,1600
1262,277220,0671015648,7.0,786,2574
1264,277228,0061044636,6.0,787,178
1267,277228,0884948706,8.0,787,3510
1268,277229,0312282990,7.0,788,521
1269,277230,0060613998,6.0,789,99
1270,277230,037541309X,7.0,789,974
1271,277230,0826308791,5.0,789,3377
1275,277235,014029628X,6.0,790,343
1276,277235,0375703861,10.0,790,993
1277,277235,0425188175,7.0,790,1462
1278,277237,038550926X,7.0,791,1219
1279,277240,0440772109,3.0,792,1630
1280,277242,0812514440,5.0,793,3280
1281,277243,0449005909,8.0,794,1798
1285,277244,055347782X,8.0,795,2321
1287,277244,0670637823,10.0,795,2539
1289,277244,1585671312,8.0,795,3883
1291,277246,0452282152,10.0,796,2035
1295,277253,0380807343,9.0,797,1100
1296,277256,0397314728,9.0,798,1295
1297,277257,0345422384,8.0,799,784
1298,277261,0440241073,7.0,800,1606
1299,277262,0395760704,5.0,801,1287
1300,277265,0615116426,10.0,802,2522
1303,277269,1555037763,6.0,803,3723
1304,277271,0618134298,8.0,804,2531
1306,277272,0375708049,7.0,805,1005
1321,277272,9726101794,4.0,805,4472
1325,277274,1887128441,8.0,806,3955
1326,277281,0062501860,9.0,807,215
1327,277284,0553581929,7.0,808,2378
1328,277285,0806523794,9.0,809,3244
1330,277291,0671738232,10.0,810,2711
1331,277292,1551668726,8.0,811,3715
1332,277293,0380721643,4.0,812,1064
1334,277314,0446360716,6.0,813,1682
1335,277315,0060173289,8.0,814,55
1336,277315,0060976845,5.0,814,144
1337,277317,1561840564,9.0,815,3782
1347,277341,084230052X,9.0,816,3400
1348,277343,3257204817,8.0,817,4131
1349,277348,0446363073,7.0,818,1684
1352,277351,3596200547,5.0,819,4309
1353,277351,3716020028,5.0,819,4322
1354,277351,3717581546,7.0,819,4323
1355,277351,3803120624,6.0,819,4328
1356,277353,0739417096,8.0,820,2977
1359,277359,1591820537,4.0,821,3895
1361,277363,0060393823,1.0,822,80
1362,277363,0156027321,8.0,822,433
1364,277363,0929264215,5.0,822,3628
1365,277364,0061011509,5.0,823,157
1366,277364,0553576801,5.0,823,2360
1367,277367,0312276885,10.0,824,517
1370,277374,0671521705,7.0,825,2637
1380,277378,0140058605,6.0,826,288
1387,277378,0192827588,8.0,826,443
1388,277378,0312195516,7.0,826,501
1396,277378,0446608955,4.0,826,1747
1403,277378,0670892963,7.0,826,2550
1406,277378,0671646575,6.0,826,2672
1422,277378,0804114986,5.0,826,3219
1423,277378,0812507452,4.0,826,3273
1424,277378,0812515560,5.0,826,3281
1425,277378,0812515595,4.0,826,3282
1432,277379,3453156366,6.0,827,4238
1434,277380,1558509828,5.0,828,3746
1437,277389,2253141860,4.0,829,4058
1439,277397,0399140751,8.0,830,1308
1448,277402,051511605X,6.0,831,2090
1454,277424,0060170166,8.0,832,53
1456,277427,002542730X,10.0,833,19
1458,277427,003008685X,8.0,833,30
1461,277427,0060006641,10.0,833,39
1465,277427,0060542128,7.0,833,93
1474,277427,0061009059,9.0,833,156
1477,277427,0062507109,8.0,833,219
1483,277427,0132220598,8.0,833,274
1488,277427,0140283374,6.0,833,337
1490,277427,014039026X,8.0,833,364
1491,277427,0140390715,7.0,833,365
1494,277427,0141439742,8.0,833,390
1497,277427,0152050167,10.0,833,419
1501,277427,0201000822,10.0,833,448
1506,277427,0310435706,10.0,833,482
1509,277427,0312944691,8.0,833,556
1522,277427,0316776963,8.0,833,637
1543,277427,0345413903,10.0,833,778
1554,277427,0375408886,9.0,833,963
1560,277427,0375751513,9.0,833,1016
1564,277427,0380702843,8.0,833,1053
1570,277427,0380791978,9.0,833,1096
1571,277427,038081904X,9.0,833,1110
1578,277427,0385424736,9.0,833,1177
1581,277427,0385486804,9.0,833,1194
1583,277427,0385503857,9.0,833,1214
1584,277427,0385504209,8.0,833,1215
1586,277427,039304016X,8.0,833,1234
1591,277427,0394738136,7.0,833,1257
1592,277427,0394862147,7.0,833,1274
1599,277427,0399149562,7.0,833,1339
1600,277427,0399225064,10.0,833,1347
1601,277427,0399501487,9.0,833,1348
1603,277427,0425047962,8.0,833,1360
1607,277427,0425104338,9.0,833,1380
1611,277427,0425116840,8.0,833,1385
1615,277427,0425133516,9.0,833,1395
1628,277427,0425190749,7.0,833,1468
1637,277427,0440185327,5.0,833,1528
1647,277427,0440224764,7.0,833,1574
1650,277427,0440236061,8.0,833,1594
1652,277427,0440236738,9.0,833,1599
1655,277427,0440428130,8.0,833,1620
1659,277427,0441627404,10.0,833,1660
1660,277427,0446311677,5.0,833,1669
1661,277427,0446325503,8.0,833,1671
1662,277427,0446350982,9.0,833,1679
1663,277427,0446522384,8.0,833,1706
1664,277427,0446600415,10.0,833,1724
1670,277427,0446608890,10.0,833,1746
1673,277427,0446676640,8.0,833,1781
1686,277427,0451180739,8.0,833,1899
1688,277427,0451191153,8.0,833,1910
1690,277427,0451203593,10.0,833,1919
1694,277427,0452284449,6.0,833,2040
1695,277427,0471018732,10.0,833,2047
1705,277427,0517573636,9.0,833,2143
1707,277427,0523485964,8.0,833,2153
1710,277427,0553078925,8.0,833,2188
1718,277427,0553280368,9.0,833,2276
1723,277427,0553351672,10.0,833,2307
1724,277427,0553571656,10.0,833,2337
1728,277427,0553573926,10.0,833,2346
1729,277427,0553574566,9.0,833,2352
1736,277427,0553581929,9.0,833,2378
1745,277427,0670307254,8.0,833,2537
1750,277427,0671014420,5.0,833,2573
1753,277427,0671037692,8.0,833,2611
1755,277427,0671528904,8.0,833,2644
1759,277427,067172021X,8.0,833,2695
1761,277427,0671727079,9.0,833,2707
1763,277427,0671740504,8.0,833,2714
1765,277427,0671749897,8.0,833,2722
1768,277427,0671876821,8.0,833,2754
1772,277427,0679417648,10.0,833,2771
1773,277427,0679419853,10.0,833,2773
1776,277427,0679731148,9.0,833,2802
1778,277427,0679736042,5.0,833,2808
1785,277427,0684869098,8.0,833,2888
1793,277427,0715388185,8.0,833,2951
1794,277427,0718002067,8.0,833,2966
1796,277427,0736903054,8.0,833,2974
1797,277427,0740723367,9.0,833,2980
1798,277427,0743406176,8.0,833,3017
1799,277427,0743412028,9.0,833,3024
1800,277427,0743422082,9.0,833,3036
1802,277427,0743444477,9.0,833,3047
1803,277427,0743457943,8.0,833,3049
1807,277427,0767903382,10.0,833,3106
1809,277427,0785243038,7.0,833,3126
1810,277427,0786866845,10.0,833,3148
1812,277427,0800757483,8.0,833,3177
1814,277427,0802425488,9.0,833,3191
1816,277427,0803653719,8.0,833,3201
1822,277427,0805018956,10.0,833,3225
1826,277427,0810909650,5.0,833,3254
1828,277427,0811802981,10.0,833,3258
1829,277427,0811811409,10.0,833,3260
1830,277427,0812504798,8.0,833,3270
1831,277427,0812531353,8.0,833,3300
1838,277427,0836210263,10.0,833,3382
1840,277427,0836213076,10.0,833,3383
1842,277427,0836217691,10.0,833,3384
1844,277427,0836218515,10.0,833,3386
1847,277427,0836218817,10.0,833,3388
1849,277427,0836221192,10.0,833,3391
1850,277427,0836221311,8.0,833,3392
1852,277427,0836236688,10.0,833,3395
1857,277427,0842370668,10.0,833,3407
1858,277427,0843947888,7.0,833,3413
1862,277427,0849995892,10.0,833,3429
1865,277427,0871890917,10.0,833,3450
1868,277427,087605534X,8.0,833,3467
1871,277427,0877790426,10.0,833,3475
1872,277427,087784870X,10.0,833,3476
1878,277427,0887621112,6.0,833,3557
1879,277427,0890814082,10.0,833,3562
1880,277427,0890876517,10.0,833,3564
1881,277427,0890876967,6.0,833,3565
1890,277427,0897330536,8.0,833,3597
1891,277427,0898155843,9.0,833,3602
1893,277427,0898157803,10.0,833,3603
1894,277427,0898793912,9.0,833,3604
1895,277427,0898794080,7.0,833,3605
1896,277427,0898794544,8.0,833,3606
1898,277427,0898796601,5.0,833,3607
1899,277427,089879661X,5.0,833,3608
1900,277427,0898797055,5.0,833,3609
1905,277427,0912452161,5.0,833,3618
1911,277427,0932592007,8.0,833,3635
1913,277427,0964420805,7.0,833,3657
1915,277427,0967201519,7.0,833,3664
1919,277427,1400060265,10.0,833,3683
1925,277427,1559586893,10.0,833,3767
1927,277427,1562923668,10.0,833,3790
1930,277427,1564403963,9.0,833,3800
1931,277427,1565075722,10.0,833,3801
1934,277427,1568380593,10.0,833,3817
1935,277427,156865037X,7.0,833,3818
1939,277427,1572302399,10.0,833,3835
1940,277427,1572304510,10.0,833,3836
1942,277427,1576733343,10.0,833,3859
1944,277427,1576739597,7.0,833,3864
1945,277427,1581690606,7.0,833,3874
1948,277427,1852303468,7.0,833,3908
1950,277427,1930285000,8.0,833,3978
1951,277427,8251800811,7.0,833,4340
1953,277432,0373765541,8.0,834,932
1956,277433,0864425767,7.0,835,3438
1959,277435,031215125X,8.0,836,493
1960,277436,0590629786,10.0,837,2489
1961,277436,0590629794,10.0,837,2490
1962,277436,0590629808,10.0,837,2491
1963,277436,0590629816,10.0,837,2492
1964,277439,0312242026,5.0,838,506
1965,277439,0316666343,7.0,838,627
1966,277439,0345444892,5.0,838,808
1967,277439,0345452550,5.0,838,816
1969,277439,0399149821,7.0,838,1341
1970,277439,051509272X,5.0,838,2080
1972,277439,0553579134,7.0,838,2367
1973,277439,0671027360,7.0,838,2600
1977,277444,0849908647,9.0,839,3425
1980,277457,3442729785,7.0,840,4219
1982,277462,0312195516,10.0,841,501
1985,277466,0380718340,7.0,842,1063
1991,277466,0440226414,7.0,842,1581
1998,277466,0553292722,8.0,842,2291
1999,277466,0553571885,8.0,842,2339
2002,277466,0684855518,9.0,842,2878
2003,277469,0446609749,7.0,843,1750
2004,277469,0553572997,9.0,843,2343
2005,277470,0330312367,5.0,844,657
2006,277471,3423101776,8.0,845,4171
2007,277471,3596200261,10.0,845,4308
2009,277473,0785264280,8.0,846,3129
2010,277474,014038572X,5.0,847,362
2012,277478,006008216X,6.0,848,41
2021,277478,0140318720,8.0,848,349
2024,277478,014200281X,6.0,848,396
2028,277478,0304359416,7.0,848,467
2029,277478,0312113420,7.0,848,490
2039,277478,0312979533,7.0,848,578
2041,277478,0340565276,8.0,848,669
2043,277478,0340745983,8.0,848,673
2046,277478,0345330129,8.0,848,701
2074,277478,038067470X,7.0,848,1051
2078,277478,0399128158,9.0,848,1297
2095,277478,0440213320,7.0,848,1541
2115,277478,0449907635,5.0,848,1854
2117,277478,0451162218,8.0,848,1875
2120,277478,0451459393,8.0,848,1997
2124,277478,0517119250,7.0,848,2138
2145,277478,0582528232,8.0,848,2414
